//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//Class    = 0,1,2	DW,SM,GM
//	   = 16,17,18	DK,BK,BM
//	   = 32,33,34	Elf,ME,HE
//	   = 48,49,50	MG,DM
//	   = 64,65,66	DL,LE
//	   = 80,81,82	SU,BS,DS
//	   = 83 84 RF

//BotPet Items
//Slot:
//0 = Weapon
//1 = Shield
//2 = Helm
//3 = Armor
//4 = Pants
//5 = Gloves
//6 = Boots
//7 = Wings
//8 = Pet
//======================================================================================
//BotIndex		Class		OnlyVip		Name				Map		X		Y		Dir
1
	0			2			4			"TreTrau"			0		138		135		1 	// DW
	1			18			7			"CauCa"				0		143		133		2	// DK
	2			34			14			"ThichPK"			0		140		135		3	// EF
	3			82			11			"CauAm"				0		135		134		3	// SM
	4			66			13			"BoMayDay"			0		133		132		3	// DL
	5			84			12			"TuoiLon"			0		133		130		3	// RF
	6			50			22			"MGTocDo"			0		132		128		3	// MG
	7			50			15			"MuThoiDai"			0		140		121		6	// MG
	8			50			8			"Extrame"			0		134		120		6	// MG
	9			50			6			"DaGaKo"			0		136		123		4	// MG
	10			66			9			"SidaTeo"			0		136		126		2	// DL
	11			66			16			"TeoSida"			0		134		125		6	// DL
	12			66			17			"HivSike"			0		133		123		3	// DL
	13			66			6			"ABCXYZ"			0		137		129		3	// DL
	14			82			6			"Sm1VuTo"			0		135		128		3	// SM
	15			82			23			"Sm2VuTo"			0		131		125		6	// SM
	16			82			24			"Sm3VuTo"			0		136		131		6	// SM
	17			82			33			"Sm4VuTo"			0		138		119		6	// SM
	18			82			31			"Sm5VuTo"			0		135		117		4	// SM
	19			82			22			"Sm6VuTo"			0		138		124		4	// SM
	20			2			36			"TreTrau2"			0		142		122		1 	// DW
	21			2			30			"TreTrau3"			0		142		120		1 	// DW
	22			2			27			"TreTrau4"			0		140		119		1 	// DW
	23			2			25			"TreTrau5"			0		142		118		1 	// DW
	24			2			25			"TreTrau6"			0		144		119		1 	// DW
	25			2			24			"TreTrau7"			0		142		117		1 	// DW
	26			2			19			"TreTrau8"			0		140		132		1 	// DW
	27			2			20			"TreTrau9"			0		140		126		1 	// DW
end                                                                                                     

//BotIndex	Slot	Type	Index	Level	Opt
2
	16		0		5		18		15		63
	16		1		5		21		15		63
	16		2		7		42		15		63
	16		3		8		42		15		63
	16		4		9		42		15		63
	16		5		10		42		15		63
	16		6		11		42		15		63
	16		7		12		43		15		63
	16		8		13		80		15		63
	
	15		0		5		18		15		63
	15		1		5		21		15		63
	15		2		7		42		15		63
	15		3		8		42		15		63
	15		4		9		42		15		63
	15		5		10		42		15		63
	15		6		11		42		15		63
	15		7		12		43		15		63
	15		8		13		80		15		63
	
	14		0		5		18		15		63
	14		1		5		21		15		63
	14		2		7		42		15		63
	14		3		8		42		15		63
	14		4		9		42		15		63
	14		5		10		42		15		63
	14		6		11		42		15		63
	14		7		12		43		15		63
	14		8		13		80		15		63
	
	13		0		2		11		15		63
	13		1		6		21		15		63
	13		2		7		25		15		63
	13		3		8		25		15		63
	13		4		9		25		15		63
	13		5		10		25		15		63
	13		6		11		25		15		63
	13		7		12		40		15		63
	13		8		13		80		15		63
	
	12		0		2		11		15		63
	12		1		6		21		15		63
	12		2		7		25		15		63
	12		3		8		25		15		63
	12		4		9		25		15		63
	12		5		10		25		15		63
	12		6		11		25		15		63
	12		7		12		40		15		63
	12		8		13		80		15		63
	
	11		0		2		11		15		63
	11		1		6		21		15		63
	11		2		7		25		15		63
	11		3		8		25		15		63
	11		4		9		25		15		63
	11		5		10		25		15		63
	11		6		11		25		15		63
	11		7		12		40		15		63
	11		8		13		80		15		63
	
	10		0		2		11		15		63
	10		1		6		21		15		63
	10		2		7		25		15		63
	10		3		8		25		15		63
	10		4		9		25		15		63
	10		5		10		25		15		63
	10		6		11		25		15		63
	10		7		12		40		15		63
	10		8		13		80		15		63
	
	9		0		0		32		15		63
	9		1		0		32		15		63
	9		3		8		32		15		63
	9		4		9		32		15		63
	9		5		10		32		15		63
	9		6		11		32		15		63
	9		7		12		39		15		63
	9		8		13		80		15		63
	
	0		0		5		12		15		63
	0		1		6		15		15		63
	0		2		7		18		15		63
	0		3		8		18		15		63
	0		4		9		18		15		63
	0		5		10		18		15		63
	0		6		11		18		15		63
	0		7		12		37		15		63
	0		8		13		80		15		63
	
	1		0		0		14		15		63
	1		1		6		13		15		63
	1		2		7		21		15		63
	1		3		8		21		15		63
	1		4		9		21		15		63
	1		5		10		21		15		63
	1		6		11		21		15		63
	1		7		12		36		15		63
	1		8		13		80		15		63
	
	2		0		4		20		15		63
	2		1		4		7		15		63
	2		2		7		19		15		63
	2		3		8		19		15		63
	2		4		9		19		15		63
	2		5		10		19		15		63
	2		6		11		19		15		63
	2		7		12		38		15		63
	2		8		13		80		15		63
	
	3		0		5		18		15		63
	3		1		5		21		15		63
	3		2		7		42		15		63
	3		3		8		42		15		63
	3		4		9		42		15		63
	3		5		10		42		15		63
	3		6		11		42		15		63
	3		7		12		43		15		63
	3		8		13		80		15		63
	
	4		0		2		11		15		63
	4		1		6		21		15		63
	4		2		7		25		15		63
	4		3		8		25		15		63
	4		4		9		25		15		63
	4		5		10		25		15		63
	4		6		11		25		15		63
	4		7		12		40		15		63
	4		8		13		80		15		63
	
	5		0		0		32		15		63
	5		1		0		32		15		63
	5		2		7		59		15		63
	5		3		8		59		15		63
	5		4		9		59		15		63
	5		5		10		59		15		63
	5		6		11		59		15		63
	5		7		12		50		15		63
	5		8		13		80		15		63
	
	6		0		0		32		15		63
	6		1		0		32		15		63
	6		3		8		32		15		63
	6		4		9		32		15		63
	6		5		10		32		15		63
	6		6		11		32		15		63
	6		7		12		39		15		63
	6		8		13		80		15		63
	
	7		0		0		32		15		63
	7		1		0		32		15		63
	7		3		8		32		15		63
	7		4		9		32		15		63
	7		5		10		32		15		63
	7		6		11		32		15		63
	7		7		12		39		15		63
	7		8		13		80		15		63
	
	8		0		0		32		15		63
	8		1		0		32		15		63
	8		3		8		32		15		63
	8		4		9		32		15		63
	8		5		10		32		15		63
	8		6		11		32		15		63
	8		7		12		39		15		63
	8		8		13		80		15		63
end


