00:04:47 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:07:15 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:14:58 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:27:53 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:32:42 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:33:21 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:37:13 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:38:09 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:38:53 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:39:46 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:41:52 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:41:58 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:42:13 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
02:02:10 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
02:03:08 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
02:23:52 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
02:28:13 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
02:31:00 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
02:32:37 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
02:33:01 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
02:33:56 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
02:37:48 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
10:38:12 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
10:44:02 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
10:46:18 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
10:46:42 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
11:21:53 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
11:21:55 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
11:22:20 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
11:38:09 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
11:53:22 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
11:56:50 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
11:57:33 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
11:59:05 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
11:59:16 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
12:03:04 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
14:13:27 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
14:17:32 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
14:18:01 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
15:32:23 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
16:41:56 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
17:23:14 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
17:23:19 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
17:26:15 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
18:16:09 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
18:16:12 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
18:18:01 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
18:18:06 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
18:18:22 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
18:18:52 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
18:58:39 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
19:10:59 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
19:18:02 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
19:18:58 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
19:30:25 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
19:35:02 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
19:36:08 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
