//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//Hệ thống Map
//Index							- Index của MAP
//NonPK							- 1: Không PK, 0 Cho PK, * mặc định theo common
//ExperienceRate				- Tỉ lệ EXP của map so với Sub (100%)
//ItemDropRate					- Tỉ lệ rơi đồ của map so với Sub (100%)
//ExcItemDropRate				- Tỉ lệ rơi đồ Excellent của map so với Sub (/1000000)
//SetItemDropRate				- Tỉ lệ rơi đồ thần của map so với Sub (/1000000)
//SocketItemDrop				- 1/0: có/không rơi đồ socket
//MoneyDropRate					- Tỉ lệ rơi Zen của map so với Sub (100%)
//HelperEnable					- 1: Được sử dụng Auto; 0: Không sử dụng Auto
//OffHelper						- 1: Được sử dụng Auto Train Offline; 0: Không sử dụng Auto Train Offline
//Store							- 1: Map được mở của hàng; 0: Không được mở của hàng
//AllowTrade					- 1: Được phép giao dịch; 0: Không giao dịch
//AccountLevel					- Cấu hình VIP mới được vào Map (Chỉnh thêm trong file /Data/Move/MoveSummon.txt)
//=================================================================================================================
//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	   PkDropItem	   DeathGate   	Comment
0         *       12          80               10                     0              0                 0                1              0                1            	1				1			1			17				"Lorencia"
1         *       12          100              10                     0              0                 0                1              0                1            	1				1			1			17				"Dungeon"
23        *       10          210              10                     0              0                 0                0              0           	    1            	0				0			0			17				"Chaos Castle 6"
24        *       12          140              10                     0              0                 0                1              0          	    1            	0				1			1			17				"Kalima 1"
25        *       12          160              10                     0              0                 0                1              0          	    1            	0				1			1			17				"Kalima 2"
26        *       12          180              10                     0              0                 0                1              0           	    1            	0				1			1			17				"Kalima 3"
27        *       12          210              10                     0              0                 0                1              0            	1            	0				1			1			17				"Kalima 4"
28        *       12          240              10                     0              0                 0                1              0           	    1            	0				1			1			17				"Kalima 5"
29        *       12          270              10                     0              0                 0                1              0           	    1            	0				1			1			17				"Kalima 6"
30        *       10          100              10                     0              0                 0                1              0            	1            	0				0			0			100				"Castle Siege"
31        *       12          220              10                     0              0                 0                1              0         	    1            	0				1			1			106				"Land of Trials"
32        *       10          320              10                     0              0                 0                1              0            	1            	0				0			0			27				"Devil Square 2"
33        *       12          230              10                     0              0                 0                1              0            	1            	0				1			1			119				"Aida"
34        *       12          240              10                     0              0                 0                1              0            	1            	0				1			1			118				"Crywolf"
36        *       12          300              10                     0              0                 0                1              0            	1            	0				1			1			17				"Kalima 7"
37        *       12          280              10                     0              0                 0                1              0            	1            	0				1			1			138				"Kanturu 1"
38        *       12          300              10                     0              0                 0                1              0           	    1            	0				1			1			139				"Kanturu 2"
39        *       12          290              10                     0              0                 0                1              0            	1            	0				1			1			137				"Kanturu 3"
40        *       12          100              10                     0              0                 0                1              0            	1            	0				0			0			402				"Silent"
41        *       12          270              10                     0              0                 0                1              0            	1            	0				1			1			256				"Barracks"
42        *       12          270              10                     0              0                 0                1              0            	1            	0				1			1			256				"Refuge"
45        *       12          120              10                     0              0                 0                1              0            	1            	0				0			0			17				"Illusion Temple 1"
46        *       12          140              10                     0              0                 0                1              0            	1            	0				0			0			17				"Illusion Temple 2"
47        *       12          160              10                     0              0                 0                1              0            	1            	0				0			0			17				"Illusion Temple 3"
48        *       12          180              10                     0              0                 0                1              0           	    1            	0				0			0			17				"Illusion Temple 4"
49        *       12          200              10                     0              0                 0                1              0            	1            	0				0			0			17				"Illusion Temple 5"
50        *       12          220              10                     0              0                 0                1              0            	1            	0				0			0			17				"Illusion Temple 6"
51        *       12          95               10                     0              0                 0                1              0            	1            	0				1			1			267				"Elbeland"
52        *       10          250              10                     0              0                 0                1              0            	1            	0				0			0			22				"Blood Castle 8"
53        *       10          230              10                     0              0                 0                0              0            	1            	0				0			0			17				"Chaos Castle 7"
56        *       12          320              10                     0              0                 0                1              0           	    1            	0				1			1			273				"Swamp of Calmness"
57        *       12          350              10                     0              0                 1                1              0            	1            	0				1			1			286				"Raklion 1"
58        *       12          370              10                     0              0                 1                1              0            	1            	0				1			1			286				"Raklion 2"
62        *       12          80               10                     0              0                 0                1              0            	1            	0				1			1			22				"Santa Town"
63        *       12          340              10                     0              0                 0                1              1            	1            	0				1			1			294				"Vulcanus"
64        *       12          100              10                     0              0                 0                0              0            	1            	0				0			0			294				"Duel Arena"
65        *       12          180              10                     0              0                 0                1              0            	1            	0				0			0			267				"Double Goer 1"
66        *       12          200              10                     0              0                 0                1              0            	1            	0				0			0			267				"Double Goer 2"
67        *       12          220              10                     0              0                 0                1              0            	1            	0				0			0			267				"Double Goer 3"
68        *       12          240              10                     0              0                 0                1              0            	1            	0				0			0			267				"Double Goer 4"
69        *       12          260              10                     0              0                 0                1              0            	1            	0				0			0			22				"Imperial Guardian 1"
70        *       12          280              10                     0              0                 0                1              0            	1            	0				0			0			22				"Imperial Guardian 2"
71        *       12          300              10                     0              0                 0                1              0            	1            	0				0			0			22				"Imperial Guardian 3"
72        *       12          320              10                     0              0                 0                1              0            	1            	0				0			0			22				"Imperial Guardian 4"
79        *       12          80               10                     0              0                 0                1              0            	1            	0				1			1			333				"Loren Market"
80        *       12          390              10                     0              0                 0                1              0            	1            	0				1			1			335				"Karutan 1"
81        *       12          410              10                     0              0                 0                1              0            	1            	0				1			1			335				"Karutan 2"
82        *       12          430              10                     0              0                 0                1              0            	1            	0				1			1			17				"Arkania"
83        *       12          450              10                     0              0                 0                1              0           	    1            	0				1			1			465				"New Nars"
84        *       12          470              10                     0              0                 0                1              0            	1            	0				1			1			466				"New Archeron"
85        *       12          490              10                     0              0                 0                1              0            	1            	0				1			1			467				"New Debenter"
86        *       12          100              10                     0              0                 0                1              0            	1            	0				1			1			17				"Noname"
87        *       12          500              10                     0              0                 0                1              0            	1            	0				1			1			505				"Kalimdor"
88        *       12          460              10                     0              0                 0                1              0            	1            	0				1			1			506				"New Map 1"
89        *       12          460              10                     0              0                 0                1              0            	1            	0				1			1			17				"Archeron"
90        *       12          480              10                     0              0                 0                1              0            	1            	0				1			1			17				"Debenter"
end
