//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
//================================================================>
// Quyền Ma Vương
12        *      *       *     *     21      00      0

end

1
//Index		Boss Index		MessKillBoss	TimeEndBoss		AlarmTime 		   Event Name
0  			*				*				900				3				"Quyền Ma Vương"	
1  			*				*				900				3				"Long Vương Quỷ"	
2  			*				*				900			 	3				"Huyết Vương Quỷ"	
3  			*				*				900				3				"Phantom"		    
4  			*				*				900				3				"Anubis"		    
5  			*				*				900				3				"Thủy Hoàng Đế"	
6  			*				*				900				3				"Ngưu Vương"		
7  			*				*				900				3				"Hầu Vương"		
8  			*				*				900				3				"Ma Thú Địa Ngục"	
9  			*				*				900				3				"Viêm Địa Chúa"	
10 			*				*				900				3				"Tà Thần Tướng"	
11 			*				*				900				3				"Ma Thần Tướng"	
12 			*				*				900				3				"(Boss Guill)"		
end

2
//Index   Group   Map   Value
0          0       51     0	
//Index   Group   Map   Value
1          0       51     0		
//Index   Group   Map   Value
2          0       02     0	
//Index   Group   Map   Value
3          0       02     0 
//Index   Group   Map   Value
4          0       07     0
//Index   Group   Map   Value
5          0       07     0                                                                                                                     
//Index   Group   Map   Value
6          0       33     0 
//Index   Group   Map   Value
7          0       33     0
//Index   Group   Map   Value
8          0       57     0
//Index   Group   Map   Value
9          0       57     0
//Index   Group   Map   Value
10          0      08    0
//Index   Group   Map   Value
11         0       08     0
//Index   Group   Map   Value
12         0       42     0 

end

3
//Index   Group   MonsterClass   RegenType   RegenTime
0         0         708            0           0 	
1         0         709            0           0 	
2         0       	710            0           0	
3         0       	711            0           0  	
4         0         712            0           0 	
5         0         713            0           0	
6         0      	717            0           0 	
7         0         718            0           0	
8         0         719            0           0 	
9         0         720            0           0	
10        0         721            0           0 	
11        0         722            0           0 	
12        0         723            0           0	

end
